id,title,description,link,image_link,price,availability,condition,brand,google_product_category,custom_label_0
parfum-damen-1,Yves Saint Laurent Black Opium,Yves Saint Laurent Black Opium - Wohn-Fieber Amazon Affiliate,https://amzn.to/4ygtI7l?tag=balu17051-21,"https://m.media-amazon.com/images/I/51yOl5EAgXL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-2,Chanel Coco Mademoiselle,Chanel Coco Mademoiselle - Wohn-Fieber Amazon Affiliate,https://amzn.to/4docs8b?tag=balu17051-21,"https://m.media-amazon.com/images/I/51Bnl3yVw2L._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-3,Dior J'adore,Dior J'adore - Wohn-Fieber Amazon Affiliate,https://amzn.to/4gDKIPc?tag=balu17051-21,"https://m.media-amazon.com/images/I/61yjcI1tmAL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-4,Lancôme La Vie Est Belle,Lancôme La Vie Est Belle - Wohn-Fieber Amazon Affiliate,https://amzn.to/4iM1ahw?tag=balu17051-21,"https://m.media-amazon.com/images/I/51RTBoHWdnL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-5,Guerlain Mon Guerlain,Guerlain Mon Guerlain - Wohn-Fieber Amazon Affiliate,https://amzn.to/4qXNO42?tag=balu17051-21,"https://m.media-amazon.com/images/I/51P+WvfPtmL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-6,Versace Eros,Versace Eros - Wohn-Fieber Amazon Affiliate,https://amzn.to/4hbYY1G?tag=balu17051-21,"https://m.media-amazon.com/images/I/61is1JDeAjL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-7,Marc Jacobs Decadence,Marc Jacobs Decadence - Wohn-Fieber Amazon Affiliate,https://amzn.to/4dnddhM?tag=balu17051-21,"https://m.media-amazon.com/images/I/71WtvAnzAvL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-8,Givenchy L'Interdit,Givenchy L'Interdit - Wohn-Fieber Amazon Affiliate,https://amzn.to/4qTefaO?tag=balu17051-21,"https://m.media-amazon.com/images/I/510k7-W2cxL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-damen-9,Armani Code,Armani Code - Wohn-Fieber Amazon Affiliate,https://amzn.to/464fkmT?tag=balu17051-21,"https://m.media-amazon.com/images/I/715QVt+3nZL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-damen
parfum-herren-10,Dior Sauvage Elixir,Dior Sauvage Elixir - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B07PHSB4L9?tag=balu17051-21,"https://m.media-amazon.com/images/I/31cwvOCHuXL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-11,Le Male Le Parfum,Le Male Le Parfum - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B08FBQHY35?tag=balu17051-21,"https://m.media-amazon.com/images/I/41k-OVgZUXL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-12,Stronger With You Intensely,Stronger With You Intensely - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B0DBRGYTDB?tag=balu17051-21,"https://m.media-amazon.com/images/I/31DeydVIGEL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-13,Bleu de Chanel EDP,Bleu de Chanel EDP - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B005712SJ8?tag=balu17051-21,"https://m.media-amazon.com/images/I/31MHesgIt3L._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-14,Azzaro The Most Wanted,Azzaro The Most Wanted - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B09VN62HF3?tag=balu17051-21,"https://m.media-amazon.com/images/I/315H8cnIcpL._AC_SR160,134_.jpg",,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
